Column1,Column2
0.3105,0.0656
0.3103,0.0655
0.3098,0.0656
0.30960000000000004,0.0645
0.3098,0.064
0.31020000000000003,0.0641
0.3093,0.06430000000000001
0.3094,0.06420000000000001
0.3096,0.0641
0.3091,0.0644
0.3089,0.0647
0.3088,0.0648
0.3085,0.0649
0.3084,0.0645
0.3086,0.0639
0.3082,0.0643
0.3085,0.06559999999999999
0.308,0.0657
0.308,0.06559999999999999
0.3076,0.0652
0.3069,0.06509999999999999
0.3062,0.0653
0.3062,0.0655
0.3054,0.0655
0.3046,0.0651
0.3049,0.06520000000000001
0.3048,0.064
0.305,0.0637
0.3054,0.0636
0.3055,0.0637
0.3043,0.064
0.3055,0.0639
0.3055,0.06369999999999999
0.3061,0.0642
0.3064,0.06449999999999999
0.30670000000000003,0.06509999999999999
0.3058,0.0653
0.3055,0.065
0.3069,0.0646
0.3062,0.0651
0.3054,0.0645
0.3041,0.0639
0.3045,0.0641
0.3043,0.065
0.3049,0.0648
0.3049,0.06459999999999999
0.3043,0.0643
0.30410000000000004,0.064
0.3042,0.0638
0.3048,0.0635
0.30560000000000004,0.062400000000000004
0.30460000000000004,0.063
0.3052,0.063
0.30600000000000005,0.0632
0.30480000000000007,0.06280000000000001
0.30580000000000007,0.06300000000000001
0.30540000000000006,0.06300000000000001
0.30600000000000005,0.06280000000000001
0.30480000000000007,0.0627
0.30290000000000006,0.0632
0.30310000000000004,0.0635
0.3023,0.0631
0.3022,0.0636
0.3033,0.0641
0.3023,0.0639
0.3028,0.064
0.3033,0.064
0.3034,0.0636
0.303,0.0629
0.30319999999999997,0.062099999999999995
0.30369999999999997,0.061399999999999996
0.30319999999999997,0.0615
0.30329999999999996,0.0613
0.30299999999999994,0.0614
0.30229999999999996,0.0608
0.30169999999999997,0.0609
0.302,0.060500000000000005
0.3025,0.060200000000000004
0.3016,0.0599
0.3015,0.0593
0.3016,0.058699999999999995
0.30079999999999996,0.058199999999999995
0.30129999999999996,0.058199999999999995
0.3011,0.058199999999999995
0.30069999999999997,0.058899999999999994
0.30039999999999994,0.058499999999999996
0.3010999999999999,0.058699999999999995
0.30049999999999993,0.0588
0.30049999999999993,0.059899999999999995
0.3015999999999999,0.060099999999999994
0.3020999999999999,0.060599999999999994
0.30289999999999995,0.061099999999999995
0.30279999999999996,0.06129999999999999
0.30289999999999995,0.06049999999999999
0.30289999999999995,0.06139999999999999
0.30289999999999995,0.06189999999999999
0.30379999999999996,0.06209999999999999
0.30419999999999997,0.06269999999999999
0.30429999999999996,0.06259999999999999
0.30349999999999994,0.06349999999999999
0.3040999999999999,0.06349999999999999
0.3036999999999999,0.06309999999999999
0.30299999999999994,0.062499999999999986
0.30279999999999996,0.06239999999999998
0.30269999999999997,0.06229999999999998
0.301,0.06149999999999998
0.2995,0.060699999999999976
0.2989,0.06049999999999998
0.2991,0.05999999999999998
0.3004,0.06059999999999998
0.2993,0.06089999999999998
0.2995,0.061699999999999984
