sigma,cor,ptip
0.05,-0.1,0.02242980535104049
0.05,-0.2,0.02110979000463609
0.05,-0.3,0.022411423644999495
0.05,-0.4,0.02382727600950658
0.05,-0.5,0.02346730447306223
0.05,-0.6,0.032566715375118814
0.05,-0.7,0.03435631739290193
0.05,-0.8,0.038790443519653606
0.05,-0.9,0.04039409743318765
0.05,-1,0.04203977130449778
0.05,0,0.02224211510350137
0.05,0.1,0.020674560514946667
0.05,0.2,0.01878486059704745
0.05,0.3,0.020245442044066447
0.05,0.4,0.015460996303362062
0.05,0.5,0.010687056495839212
0.05,0.6,0.010222711058835704
0.05,0.7,0.006969963195666645
0.05,0.8,0.010264537293237974
0.05,0.9,0.0055231989882610355
0.05,1,0.009996326590657661
0.1,-0.1,1.172734865080873
0.1,-0.2,1.3419541330842666
0.1,-0.3,1.385617457021537
0.1,-0.4,1.457628517410247
0.1,-0.5,1.4723255963603246
0.1,-0.6,1.622438949365971
0.1,-0.7,1.699214052711837
0.1,-0.8,1.8081196213049169
0.1,-0.9,1.9245144883589589
0.1,-1,2.045427370119359
0.1,0,1.1790088278079127
0.1,0.1,1.030326922964504
0.1,0.2,0.9793745376564298
0.1,0.3,0.9318834853287352
0.1,0.4,0.8644786483803863
0.1,0.5,0.7782659592916806
0.1,0.6,0.6726986114011455
0.1,0.7,0.6480806828407402
0.1,0.8,0.5575157083941525
0.1,0.9,0.5264764765772063
0.1,1,0.4823480470818765
0.15,-0.1,6.409332849777492
0.15,-0.2,6.611251779675954
0.15,-0.3,6.834531679255047
0.15,-0.4,6.8043764063470045
0.15,-0.5,7.190222189696259
0.15,-0.6,7.430886155897712
0.15,-0.7,7.719392919056185
0.15,-0.8,7.866678921610279
0.15,-0.9,8.034338572404502
0.15,-1,8.471428802805892
0.15,0,5.932909690251171
0.15,0.1,5.710825454607347
0.15,0.2,5.508907428006616
0.15,0.3,5.298197874324058
0.15,0.4,5.0184306320131835
0.15,0.5,4.697667840094752
0.15,0.6,4.462231669528781
0.15,0.7,4.402061138190827
0.15,0.8,4.037643008852453
0.15,0.9,3.938064333121057
0.15,1,3.5283923490822615
0.2,-0.1,13.0695604629641
0.2,-0.2,13.696888153677516
0.2,-0.3,13.827384063388095
0.2,-0.4,14.013907301773251
0.2,-0.5,14.511370167371451
0.2,-0.6,14.8045639287367
0.2,-0.7,14.800337113170853
0.2,-0.8,15.145763669159079
0.2,-0.9,15.379521382735861
0.2,-1,15.64633824798404
0.2,0,12.928823304725293
0.2,0.1,12.571903803008178
0.2,0.2,12.381135590663185
0.2,0.3,11.783114528658215
0.2,0.4,11.58132269112624
0.2,0.5,11.088180087075571
0.2,0.6,10.646126602053483
0.2,0.7,10.471476949333997
0.2,0.8,10.172940343384255
0.2,0.9,9.806429682460653
0.2,1,9.35489203487836
